category,orientation,color,setting,style,light,file_path
true,approaching the camera at a slight angle (badge visible),sky blue,,professional dress,,E:\Project\name_tag_detection\data\true\generated_126.png
true,"walking directly toward the camera (front view, approaching, badge visible)",wine red,,business casual shirt and chinos,,E:\Project\name_tag_detection\data\true\generated_127.png
true,"standing with arms at sides, facing the camera (badge visible on chest)",peach,,sweater or cardigan with collared shirt underneath,,E:\Project\name_tag_detection\data\true\generated_128.png
true,"standing facing the camera directly (front view, badge fully visible)",cream,,business suit and tie,,E:\Project\name_tag_detection\data\true\generated_129.png
true,"standing with one hand in pocket, facing the camera (badge visible)",dark green,,turtleneck with blazer,,E:\Project\name_tag_detection\data\true\generated_130.png
true,standing with body angled 45° but face turned toward camera (badge visible),yellow,,tailored skirt suit,,E:\Project\name_tag_detection\data\true\generated_131.png
true,"walking from right to left across the field of view (profile, badge visible)",orange,,blazer with jeans,,E:\Project\name_tag_detection\data\true\generated_132.png
true,"walking from right to left across the field of view (profile, badge visible)",emerald green,,dark suit with a name tag prominently displayed,,E:\Project\name_tag_detection\data\true\generated_133.png
true,"standing with arms crossed, facing the camera (badge visible on chest)",sky blue,,business suit and tie,,E:\Project\name_tag_detection\data\true\generated_134.png
true,"standing facing the camera directly (front view, badge fully visible)",tan,,business suit and tie,,E:\Project\name_tag_detection\data\true\generated_135.png
true,walking diagonally from right-forward to left-backward (badge remains visible),steel blue,,tailored skirt suit,,E:\Project\name_tag_detection\data\true\generated_136.png
true,"standing facing the camera directly (front view, badge fully visible)",lavender,,company-branded polo shirt with trousers,,E:\Project\name_tag_detection\data\true\generated_137.png
true,looking down slightly but body still facing camera (badge visible),burgundy,,tailored skirt suit,,E:\Project\name_tag_detection\data\true\generated_138.png
true,"standing facing right (profile view, badge visible on the side)",black,,turtleneck with blazer,,E:\Project\name_tag_detection\data\true\generated_139.png
true,"walking from left to right across the field of view (profile, badge visible)",maroon,,light-colored button-up shirt with dark trousers,,E:\Project\name_tag_detection\data\true\generated_140.png
true,"walking from right to left across the field of view (profile, badge visible)",slate gray,,sweater or cardigan with collared shirt underneath,,E:\Project\name_tag_detection\data\true\generated_141.png
true,"standing at 45° angle, facing left-forward (badge visible)",peach,,company-branded polo shirt with trousers,,E:\Project\name_tag_detection\data\true\generated_142.png
true,"standing at 45° angle, facing left-forward (badge visible)",olive green,,business casual shirt and chinos,,E:\Project\name_tag_detection\data\true\generated_143.png
true,"standing facing left (profile view, badge visible on the side)",yellow,,business suit and tie,,E:\Project\name_tag_detection\data\true\generated_144.png
true,"standing at 45° angle, facing right-forward (badge visible)",lavender,,dark suit with a name tag prominently displayed,,E:\Project\name_tag_detection\data\true\generated_145.png
true,"standing with arms at sides, facing the camera (badge visible on chest)",peach,,light-colored button-up shirt with dark trousers,,E:\Project\name_tag_detection\data\true\generated_146.png
true,"walking directly toward the camera (front view, approaching, badge visible)",teal,,professional dress,,E:\Project\name_tag_detection\data\true\generated_147.png
true,"standing facing the camera directly (front view, badge fully visible)",wine red,,sweater or cardigan with collared shirt underneath,,E:\Project\name_tag_detection\data\true\generated_148.png
true,"walking from right to left across the field of view (profile, badge visible)",yellow,,vest and dress shirt,,E:\Project\name_tag_detection\data\true\generated_149.png
true,"standing facing right (profile view, badge visible on the side)",purple,,company-branded polo shirt with trousers,,E:\Project\name_tag_detection\data\true\generated_150.png
